"TableTitle"	"Variable"	"Units"	"Year"	"Age.group"	"Education.level"	"Residence"	"Region"	"Wealth.quintle"	"Value"
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Nairobi"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Nairobi"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Nairobi"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Nairobi"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Nairobi"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Nairobi"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"North Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"North Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"North Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"North Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"North Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"North Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Nyanza"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Nyanza"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Nyanza"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Nyanza"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Nyanza"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Nyanza"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Rift Valley"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Rift Valley"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Rift Valley"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Rift Valley"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Rift Valley"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Rift Valley"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Total"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Total"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Total"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Total"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Total"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Total"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Western"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Western"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Western"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Western"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Western"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Rural"	"Western"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Central"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Central"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Central"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Central"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Central"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Central"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Coast"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Coast"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Coast"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Coast"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Coast"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Coast"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Nairobi"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Nairobi"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Nairobi"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Nairobi"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Nairobi"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Nairobi"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"North Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"North Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"North Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"North Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"North Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"North Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Nyanza"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Nyanza"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Nyanza"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Nyanza"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Nyanza"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Nyanza"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Rift Valley"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Rift Valley"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Rift Valley"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Rift Valley"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Rift Valley"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Rift Valley"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Total"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Total"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Total"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Total"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Total"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Total"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Western"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Western"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Western"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Western"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Western"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Total"	"Western"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Central"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Central"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Central"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Central"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Central"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Central"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Coast"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Coast"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Coast"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Coast"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Coast"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Coast"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Nairobi"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Nairobi"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Nairobi"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Nairobi"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Nairobi"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Nairobi"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"North Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"North Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"North Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"North Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"North Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"North Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Nyanza"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Nyanza"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Nyanza"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Nyanza"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Nyanza"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Nyanza"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Rift Valley"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Rift Valley"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Rift Valley"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Rift Valley"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Rift Valley"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Rift Valley"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Total"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Total"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Total"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Total"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Total"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Total"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Western"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Western"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Western"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Western"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Western"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Secondary"	"Urban"	"Western"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Central"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Central"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Central"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Central"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Central"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Central"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Coast"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Coast"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Coast"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Coast"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Coast"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Coast"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Nairobi"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Nairobi"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Nairobi"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Nairobi"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Nairobi"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"Nairobi"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"North Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"North Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"6-13"	"Primary"	"Rural"	"North Eastern"	"Lowest"	
