"TableTitle"	"Variable"	"Units"	"Year"	"Age.group"	"Sex"	"Education.level"	"Residence"	"Region"	"Wealth.quintle"	"Value"	"Number.of.persons"
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Nyanza"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Nyanza"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Rift Valley"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Rift Valley"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Rift Valley"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Rift Valley"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Rift Valley"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Rift Valley"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Total"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Total"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Total"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Total"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Total"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Total"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Western"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Western"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Western"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Western"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Western"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Rural"	"Western"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Central"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Central"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Central"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Central"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Central"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Central"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Coast"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Coast"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Coast"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Coast"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Coast"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Coast"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Eastern"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Eastern"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Eastern"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Eastern"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Eastern"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Eastern"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Nairobi"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Nairobi"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Nairobi"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Nairobi"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Nairobi"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Nairobi"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"North Eastern"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"North Eastern"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"North Eastern"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"North Eastern"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"North Eastern"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"North Eastern"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Nyanza"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Nyanza"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Nyanza"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Nyanza"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Nyanza"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Nyanza"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Rift Valley"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Rift Valley"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Rift Valley"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Rift Valley"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Rift Valley"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Rift Valley"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Total"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Total"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Total"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Total"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Total"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Total"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Western"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Western"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Western"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Western"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Western"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Total"	"Western"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Central"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Central"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Central"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Central"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Central"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Central"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Coast"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Coast"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Coast"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Coast"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Coast"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Coast"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Eastern"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Eastern"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Eastern"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Eastern"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Eastern"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Eastern"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Nairobi"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Nairobi"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Nairobi"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Nairobi"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Nairobi"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Nairobi"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"North Eastern"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"North Eastern"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"North Eastern"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"North Eastern"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"North Eastern"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"North Eastern"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Nyanza"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Nyanza"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Nyanza"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Nyanza"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Nyanza"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Nyanza"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Rift Valley"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Rift Valley"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Rift Valley"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Rift Valley"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Rift Valley"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Rift Valley"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Total"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Total"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Total"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Total"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Total"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Total"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Western"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Western"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Western"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Western"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Western"	"Second"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"More than secondary"	"Urban"	"Western"	"Total"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"No education"	"Rural"	"Central"	"Fourth"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"No education"	"Rural"	"Central"	"Highest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"No education"	"Rural"	"Central"	"Lowest"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"No education"	"Rural"	"Central"	"Middle"		
"Table 2.13.2 Educational attainment of the male household population"	"Percent distribution of the de facto household population age six and over by highest level of schooling attended or completed"	"percent"	"2014"	"10-14"	"Male"	"No education"	"Rural"	"Central"	"Second"		
